#b 	 momk 	 DP 	 WW 
0.0220971	0	0.90977	0.596233
0.0662913	0	0.861371	0.446835
0.110485	0	1.11915	0.584582
0.15468	0	1.42904	0.981486
0.198874	0	0.949092	0.550058
0.243068	0	0.84751	0.474244
0.287262	0	0.895298	0.478036
0.331456	0	1.02919	0.587595
0.37565	0	0.731838	0.230788
0.419845	0	0.670038	0.174881
0.464039	0	0.646345	0.141034
0.508233	0	0.65703	0.142605
0.552427	0	0.672732	0.147539
0.596621	0	0.673529	0.148894
0.640816	0	0.633389	0.116933
0.68501	0	0.602759	0.101833
0.729204	0	0.561733	0.104428
0.773398	0	0.619236	0.132788
0.817592	0	0.615412	0.111119
0.861786	0	0.635068	0.136505
0.905981	0	0.60733	0.116713
0.950175	0	0.58262	0.117386
0.994369	0	0.544899	0.0702392
1.03856	0	0.546836	0.0286182
1.08276	0	0.582103	0.0449252
1.12695	0	0.59512	0.0659903
1.17115	0	0.583625	0.0675317
1.21534	0	0.547499	0.0235657
1.25953	0	0.533323	-0.000658257
1.30373	0	0.545159	0.0397732
1.34792	0	0.59912	0.110438
1.39212	0	0.633142	0.13393
1.43631	0	0.629554	0.126169
1.4805	0	0.630173	0.139681
1.5247	0	0.590828	0.105171
1.56889	0	0.542442	0.0473915
1.61309	0	0.533003	0.0304306
1.65728	0	0.537023	0.0339025
1.70148	0	0.53199	0.0330377
1.74567	0	0.524663	0.0249219
1.78986	0	0.521885	0.023221
1.83406	0	0.518393	0.0185121
1.87825	0	0.510318	0.00978151
1.92245	0	0.506865	0.00674594
1.96664	0	0.503419	0.00386345
2.01083	0	0.501945	0.00246868
2.05503	0	0.501184	0.00169721
2.09922	0	0.500614	0.000986629
2.14342	0	0.501326	0.00141741
2.18761	0	0.501481	0.00135348
2.23181	0	0.50075	0.000571241
2.276	0	0.500385	0.000219983
2.32019	0	0.499992	-0.000117602
2.36439	0	0.499918	-0.000130769
2.40858	0	0.499944	-5.8888e-05
2.45278	0	0.499981	4.43711e-06
2.49697	0	0.500037	6.37635e-05
2.54116	0	0.500038	5.60027e-05
2.58536	0	0.500057	6.246e-05
2.62955	0	0.500046	4.19169e-05
