#relative distance 	 D_matrix 	 position 128
0.015625	0.00387657	26.3087
0.03125	0.0138427	94.4173
0.046875	0.0277012	190.28
0.0625	0.0450302	312.09
0.078125	0.0639521	447.647
0.09375	0.0852764	603.738
0.109375	0.106881	765.637
0.125	0.130237	945.128
0.140625	0.153022	1124.94
0.15625	0.177125	1320.48
0.171875	0.200093	1512.24
0.1875	0.224084	1718.49
0.203125	0.246576	1917.74
0.21875	0.269889	2130.64
0.234375	0.29148	2333.96
0.25	0.313755	2550.33
0.265625	0.334185	2755.05
0.28125	0.355212	2972.4
0.296875	0.37434	3176.38
0.3125	0.394007	3392.72
0.328125	0.411773	3594.26
0.34375	0.430044	3807.99
0.359375	0.446443	4005.74
0.375	0.46333	4215.59
0.390625	0.478396	4408.46
0.40625	0.493941	4613.4
0.421875	0.507732	4800.55
0.4375	0.522	4999.76
0.453125	0.534586	5180.51
0.46875	0.547651	5373.37
0.484375	0.559112	5547.2
0.5	0.571055	5733.2
0.515625	0.581471	5899.72
0.53125	0.592374	6078.5
0.546875	0.601827	6237.43
0.5625	0.611769	6408.71
0.578125	0.620336	6559.85
0.59375	0.629396	6723.45
0.609375	0.63715	6866.67
0.625	0.645402	7022.48
0.640625	0.652412	7157.74
0.65625	0.659922	7305.69
0.671875	0.666253	7432.97
0.6875	0.673085	7573.06
0.703125	0.678795	7692.41
0.71875	0.685007	7824.68
0.734375	0.690149	7936.17
0.75	0.695793	8060.7
0.765625	0.700417	8164.43
0.78125	0.705542	8281.31
0.796875	0.709691	8377.43
0.8125	0.71434	8486.79
0.828125	0.718055	8575.44
0.84375	0.722268	8677.42
0.859375	0.725584	8758.78
0.875	0.729397	8853.55
0.890625	0.732347	8927.8
0.90625	0.735791	9015.53
0.921875	0.738404	9082.85
0.9375	0.741509	9163.74
0.953125	0.743812	9224.34
0.96875	0.746604	9298.57
0.984375	0.74862	9352.67
1	0.751122	9420.43
1.01563	0.752872	9468.23
1.03125	0.755106	9529.74
1.04688	0.75661	9571.46
1.0625	0.758595	9626.92
1.07813	0.759869	9662.76
1.09375	0.761622	9712.39
1.10938	0.762682	9742.57
1.125	0.764218	9786.56
1.14063	0.765078	9811.31
1.15625	0.766411	9849.87
1.17188	0.767084	9869.39
1.1875	0.768227	9902.73
1.20313	0.768723	9917.23
1.21875	0.769688	9945.55
1.23438	0.770017	9955.25
1.25	0.770813	9978.73
1.26563	0.770986	9983.83
1.28125	0.771622	10002.7
1.29688	0.771646	10003.4
1.3125	0.772132	10017.8
1.32813	0.772013	10014.3
1.34375	0.772356	10024.5
1.35938	0.772102	10016.9
1.375	0.772308	10023.1
1.39063	0.771926	10011.7
1.40625	0.772001	10013.9
1.42188	0.771496	9998.93
1.4375	0.771446	9997.46
1.45313	0.770822	9978.98
1.46875	0.770652	9973.98
1.48438	0.769914	9952.2
1.5	0.769629	9943.83
1.51563	0.76878	9918.92
1.53125	0.768385	9907.34
1.54688	0.76743	9879.46
1.5625	0.766927	9864.83
1.57813	0.765868	9834.15
1.59375	0.765262	9816.62
1.60938	0.764103	9783.27
1.625	0.763396	9762.99
1.64063	0.76214	9727.13
1.65625	0.761335	9704.25
1.67188	0.759984	9666.02
1.6875	0.759084	9640.66
1.70313	0.757641	9600.21
1.71875	0.756648	9572.51
1.73438	0.755114	9529.96
1.75	0.754031	9500.06
1.76563	0.752409	9455.53
1.78125	0.751237	9423.55
1.79688	0.749528	9377.18
1.8125	0.748269	9343.24
1.82813	0.746476	9295.15
1.84375	0.745133	9259.35
1.85938	0.743256	9209.65
1.875	0.741829	9172.13
1.89063	0.739871	9120.93
1.90625	0.738363	9081.78
1.92188	0.736324	9029.2
1.9375	0.734736	8988.52
1.95313	0.732617	8934.65
1.96875	0.730951	8892.56
1.98438	0.728755	8837.51
2	0.727011	8794.09
2.01563	0.724739	8737.95
2.03125	0.722918	8693.3
2.04688	0.720571	8636.16
2.0625	0.718676	8590.38
2.07813	0.716254	8532.33
2.09375	0.714286	8485.49
2.10938	0.711791	8426.62
2.125	0.70975	8378.81
2.14063	0.707184	8319.2
2.15625	0.705072	8270.51
2.17188	0.702435	8210.23
2.1875	0.700253	8160.73
2.20313	0.697547	8099.87
2.21875	0.695296	8049.63
2.23438	0.692522	7988.25
2.25	0.690203	7937.36
2.26563	0.687363	7875.54
2.28125	0.684977	7824.04
2.29688	0.682071	7761.85
2.3125	0.67962	7709.83
2.32813	0.676649	7647.32
2.34375	0.674134	7594.83
2.35938	0.671101	7532.07
2.375	0.668522	7479.18
2.39063	0.665427	7416.23
2.40625	0.662788	7363
2.42188	0.659632	7299.92
2.4375	0.656932	7246.39
2.45313	0.653718	7183.23
2.46875	0.650959	7129.47
2.48438	0.647687	7066.28
2.5	0.644871	7012.34
2.51563	0.641543	6949.17
2.53125	0.63867	6895.1
2.54688	0.635288	6832
2.5625	0.632361	6777.85
2.57813	0.628926	6714.86
2.59375	0.625945	6660.67
2.60938	0.62246	6597.84
2.625	0.619427	6543.65
2.64063	0.615892	6481.03
2.65625	0.612809	6426.88
2.67188	0.609227	6364.49
2.6875	0.606095	6310.44
2.70313	0.602467	6248.33
2.71875	0.599289	6194.39
2.73438	0.595616	6132.6
2.75	0.592393	6078.82
2.76563	0.588678	6017.37
2.78125	0.585412	5963.8
2.79688	0.581657	5902.72
2.8125	0.578349	5849.38
2.82813	0.574556	5788.71
2.84375	0.571208	5735.63
2.85938	0.567379	5675.4
2.875	0.563993	5622.6
2.89063	0.56013	5562.84
2.90625	0.556708	5510.37
2.92188	0.552813	5451.1
2.9375	0.549358	5398.97
2.95313	0.545432	5340.22
2.96875	0.541945	5288.46
2.98438	0.537991	5230.25
3	0.534475	5178.89
3.01563	0.530496	5121.23
3.03125	0.526951	5070.29
3.04688	0.522949	5013.22
3.0625	0.519379	4962.72
3.07813	0.515355	4906.25
3.09375	0.511761	4856.21
3.10938	0.507719	4800.36
3.125	0.504104	4750.8
3.14063	0.500045	4695.59
3.15625	0.49641	4646.52
3.17188	0.492337	4591.96
3.1875	0.488686	4543.41
3.20313	0.484601	4489.51
3.21875	0.480934	4441.5
3.23438	0.47684	4388.28
3.25	0.47316	4340.81
3.26563	0.469059	4288.28
3.28125	0.465369	4241.37
3.29688	0.461262	4189.54
3.3125	0.457564	4143.21
3.32813	0.453455	4092.09
3.34375	0.449751	4046.34
3.35938	0.445642	3995.94
3.375	0.441934	3950.79
3.39063	0.437826	3901.12
3.40625	0.434117	3856.57
3.42188	0.430014	3807.63
3.4375	0.426304	3763.7
3.45313	0.422208	3715.5
3.46875	0.418502	3672.19
3.48438	0.414414	3624.75
3.5	0.410712	3582.06
3.51563	0.406636	3535.37
3.53125	0.402941	3493.32
3.54688	0.398878	3447.39
3.5625	0.395193	3405.98
3.57813	0.391145	3360.81
3.59375	0.38747	3320.05
3.60938	0.383441	3275.63
3.625	0.379779	3235.53
3.64063	0.375769	3191.88
3.65625	0.372123	3152.42
3.67188	0.368135	3109.54
3.6875	0.364505	3070.74
3.70313	0.360541	3028.62
3.71875	0.35693	2990.48
3.73438	0.352992	2949.13
3.75	0.349402	2911.65
3.76563	0.345492	2871.06
3.78125	0.341925	2834.24
3.79688	0.338043	2794.41
3.8125	0.334501	2758.26
3.82813	0.330651	2719.19
3.84375	0.327135	2683.7
3.85938	0.323318	2645.39
3.875	0.31983	2610.56
3.89063	0.316048	2573
3.90625	0.312589	2538.83
3.92188	0.308843	2502.03
3.9375	0.305415	2468.52
3.95313	0.301708	2432.46
3.96875	0.298312	2399.6
3.98438	0.294644	2364.28
4	0.291283	2332.08
4.01563	0.287656	2297.5
4.03125	0.28433	2265.95
4.04688	0.280744	2232.1
4.0625	0.277455	2201.2
4.07813	0.273913	2168.08
4.09375	0.270662	2137.82
4.10938	0.267165	2105.42
4.125	0.263953	2075.79
4.14063	0.260502	2044.11
4.15625	0.25733	2015.12
4.17188	0.253925	1984.14
4.1875	0.250795	1955.78
4.20313	0.247438	1925.5
4.21875	0.24435	1897.76
4.23438	0.241042	1868.17
4.25	0.237997	1841.05
4.26563	0.234739	1812.15
4.28125	0.231738	1785.64
4.29688	0.22853	1757.42
4.3125	0.225574	1731.51
4.32813	0.222417	1703.96
4.34375	0.219507	1678.66
4.35938	0.216402	1651.76
4.375	0.213538	1627.05
4.39063	0.210485	1600.81
4.40625	0.207668	1576.68
4.42188	0.204668	1551.08
4.4375	0.201898	1527.54
4.45313	0.198951	1502.57
4.46875	0.196229	1479.6
4.48438	0.193336	1455.26
4.5	0.190662	1432.84
4.51563	0.187823	1409.12
4.53125	0.185198	1387.27
4.54688	0.182413	1364.15
4.5625	0.179836	1342.84
4.57813	0.177105	1320.32
4.59375	0.174578	1299.56
4.60938	0.171902	1277.63
4.625	0.169424	1257.39
4.64063	0.166802	1236.04
4.65625	0.164373	1216.33
4.67188	0.161806	1195.55
4.6875	0.159427	1176.35
4.70313	0.156913	1156.13
4.71875	0.154584	1137.44
4.73438	0.152125	1117.76
4.75	0.149845	1099.57
4.76563	0.14744	1080.44
4.78125	0.145209	1062.74
4.79688	0.142858	1044.13
4.8125	0.140676	1026.91
4.82813	0.138378	1008.83
4.84375	0.136246	992.082
4.85938	0.134002	974.507
4.875	0.131917	958.226
4.89063	0.129726	941.15
4.90625	0.127691	925.325
4.92188	0.125552	908.739
4.9375	0.123564	893.361
4.95313	0.121478	877.255
4.96875	0.119538	862.315
4.98438	0.117503	846.68
5	0.115611	832.169
5.01563	0.113627	816.994
5.03125	0.111782	802.905
5.04688	0.109849	788.181
5.0625	0.108049	774.504
5.07813	0.106167	760.221
5.09375	0.104413	746.948
5.10938	0.10258	733.095
5.125	0.100872	720.218
5.14063	0.0990874	706.787
5.15625	0.0974246	694.296
5.17188	0.0956881	681.277
5.1875	0.0940695	669.165
5.20313	0.0923806	656.549
5.21875	0.0908057	644.806
5.23438	0.0891635	632.583
5.25	0.0876318	621.202
5.26563	0.0860357	609.363
5.28125	0.0845465	598.335
5.29688	0.0829957	586.87
5.3125	0.0815483	576.188
5.32813	0.080042	565.089
5.34375	0.0786358	554.742
5.35938	0.0771734	544
5.375	0.0758076	533.983
5.39063	0.0743882	523.588
5.40625	0.0730622	513.892
5.42188	0.0716851	503.836
5.4375	0.0703981	494.452
5.45313	0.0690624	484.727
5.46875	0.0678138	475.648
5.48438	0.0665187	466.244
5.5	0.0653077	457.463
5.51563	0.0640525	448.373
5.53125	0.0628783	439.881
5.54688	0.0616621	431.096
5.5625	0.0605241	422.886
5.57813	0.059346	414.398
5.59375	0.0582434	406.462
5.60938	0.0571027	398.263
5.625	0.0560347	390.595
5.64063	0.0549305	382.677
5.65625	0.0538964	375.269
5.67188	0.0528279	367.624
5.6875	0.051827	360.47
5.70313	0.0507934	353.09
5.71875	0.0498248	346.182
5.73438	0.0488252	339.06
5.75	0.0478883	332.392
5.76563	0.046922	325.521
5.78125	0.0460159	319.085
5.79688	0.045082	312.457
5.8125	0.0442061	306.247
5.82813	0.0433038	299.855
5.84375	0.0424573	293.865
5.85938	0.0415858	287.703
5.875	0.040768	281.925
5.89063	0.0399265	275.986
5.90625	0.0391366	270.415
5.92188	0.0383243	264.692
5.9375	0.0375616	259.322
5.95313	0.0367777	253.808
5.96875	0.0360415	248.633
5.98438	0.0352853	243.321
6	0.0345749	238.335
6.01563	0.0338456	233.22
6.03125	0.0331603	228.417
6.04688	0.0324571	223.493
6.0625	0.0317962	218.867
6.07813	0.0311184	214.127
6.09375	0.0304812	209.674
6.10938	0.0298281	205.113
6.125	0.0292139	200.826
6.14063	0.0285847	196.438
6.15625	0.0279929	192.312
6.17188	0.027387	188.091
6.1875	0.0268169	184.122
6.20313	0.0262335	180.063
6.21875	0.0256844	176.245
6.23438	0.0251229	172.342
6.25	0.0245943	168.67
6.26563	0.0240539	164.919
6.28125	0.0235451	161.389
6.29688	0.0230253	157.784
6.3125	0.0225357	154.39
6.32813	0.0220358	150.927
6.34375	0.0215648	147.666
6.35938	0.0210841	144.339
6.375	0.0206311	141.205
6.39063	0.0201691	138.01
6.40625	0.0197336	135
6.42188	0.0192895	131.933
6.4375	0.0188709	129.042
6.45313	0.0184442	126.097
6.46875	0.0180419	123.322
6.48438	0.0176322	120.496
6.5	0.0172457	117.831
6.51563	0.0168522	115.12
6.53125	0.0164809	112.562
6.54688	0.0161032	109.961
6.5625	0.0157467	107.508
6.57813	0.0153841	105.013
6.59375	0.0150419	102.659
6.60938	0.014694	100.267
6.625	0.0143655	98.0094
6.64063	0.0140318	95.7162
6.65625	0.0137166	93.5514
6.67188	0.0133965	91.3534
6.6875	0.0130941	89.2779
6.70313	0.0127872	87.1717
6.71875	0.0124972	85.1824
6.73438	0.012203	83.1645
6.75	0.0119249	81.2581
6.76563	0.0116429	79.3252
6.78125	0.0113764	77.4987
6.79688	0.0111062	75.6476
6.8125	0.0108507	73.8979
6.82813	0.0105918	72.1255
6.84375	0.010347	70.4498
6.85938	0.0100991	68.7531
6.875	0.00986456	67.1486
6.89063	0.00962714	65.5246
6.90625	0.00940251	63.9885
6.92188	0.00917521	62.4345
6.9375	0.00896011	60.9642
6.95313	0.00874254	59.4773
6.96875	0.0085366	58.0702
6.98438	0.00832839	56.6479
7	0.00813126	55.3016
7.01563	0.00793204	53.9413
7.03125	0.00774337	52.6533
7.04688	0.00755279	51.3524
7.0625	0.00737226	50.1204
7.07813	0.00718997	48.8766
7.09375	0.00701726	47.6984
7.10938	0.00684293	46.5094
7.125	0.00667772	45.3827
7.14063	0.00651104	44.2462
