#b 	 momk 	 DP 	 WW 
0	0	-22.9782	12.357
0.0441942	0	-15.6635	-15.1871
0.0883883	0	12.8871	-12.3859
0.132583	0	24.3901	-27.4436
0.176777	0	39.4906	-20.1376
0.220971	0	16.4623	-23.6949
0.265165	0	18.6662	-19.6136
0.309359	0	38.3317	-13.3101
0.353553	0	24.837	-8.36202
0.397748	0	31.129	-37.9831
0.441942	0	-13.0326	-15.5831
0.486136	0	19.1106	-5.49833
0.53033	0	-6.10096	-25.2367
0.574524	0	-11.1354	-31.7405
0.618718	0	-30.7375	-23.6206
0.662913	0	18.872	-10.0358
0.707107	0	16.9642	6.30194
0.751301	0	-15.3684	-6.054
0.795495	0	-13.3437	7.02597
0.839689	0	0.14785	6.68209
0.883883	0	-8.25921	-0.0169421
0.928078	0	2.13564	-1.87025
0.972272	0	16.6454	-2.78166
1.01647	0	20.3373	-1.67654
1.06066	0	22.1423	-5.3181
1.10485	0	19.354	-3.76067
1.14905	0	14.6693	-3.79387
1.19324	0	10.6802	-2.71748
1.23744	0	8.06351	-1.33618
1.28163	0	5.66452	-0.451571
1.32583	0	3.94965	-0.06072
1.37002	0	2.81064	0.310203
1.41421	0	2.12086	0.378972
1.45841	0	1.64813	0.445712
1.5026	0	1.38042	0.417175
1.5468	0	1.15803	0.392788
1.59099	0	1.0156	0.33511
1.63518	0	0.88025	0.290769
1.67938	0	0.777917	0.240505
1.72357	0	0.674642	0.200856
1.76777	0	0.588561	0.163438
1.81196	0	0.503971	0.133267
1.85616	0	0.43156	0.107761
1.90035	0	0.363547	0.0864298
1.94454	0	0.305809	0.0697155
1.98874	0	0.253803	0.0555098
2.03293	0	0.209996	0.044444
2.07713	0	0.172054	0.0352034
2.12132	0	0.140489	0.0281851
2.16551	0	0.113741	0.0221451
2.20971	0	0.0918007	0.0178061
2.2539	0	0.0735861	0.0138832
2.2981	0	0.0588681	0.0111191
2.34229	0	0.0468025	0.00861779
2.38649	0	0.037152	0.00686729
2.43068	0	0.029331	0.00529277
2.47487	0	0.0231218	0.00419119
2.51907	0	0.0181389	0.00322688
2.56326	0	0.0142088	0.00254911
2.60746	0	0.0110855	0.00195927
2.65165	0	0.0086381	0.00154497
2.69584	0	0.00670792	0.00118664
2.74004	0	0.00519943	0.000932308
2.78423	0	0.00401875	0.000716858
2.82843	0	0.00310018	0.000562356
2.87262	0	0.00239301	0.000433945
2.91682	0	0.00183858	0.000340878
2.96101	0	0.00141251	0.000260662
3.0052	0	0.00108473	0.000205784
3.0494	0	0.000832407	0.000157383
3.09359	0	0.000637679	0.000126397
3.13779	0	0.000487714	9.52421e-05
3.18198	0	0.000372433	7.45371e-05
3.22617	0	0.000285194	5.66727e-05
3.27037	0	0.000218388	4.51657e-05
3.31456	0	0.00016628	3.4097e-05
3.35876	0	0.000127642	2.70005e-05
3.40295	0	9.66215e-05	2.01812e-05
3.44715	0	7.44139e-05	1.58362e-05
3.49134	0	5.59744e-05	1.18893e-05
3.53553	0	4.32531e-05	9.338e-06
3.57973	0	3.23326e-05	7.02991e-06
3.62392	0	2.50514e-05	5.50382e-06
3.66812	0	1.86432e-05	4.15263e-06
3.71231	0	1.45203e-05	3.26297e-06
3.7565	0	1.07343e-05	2.45065e-06
3.8007	0	8.41438e-06	1.93233e-06
3.84489	0	6.17045e-06	1.44286e-06
3.88909	0	4.87147e-06	1.14404e-06
3.93328	0	3.54376e-06	8.44927e-07
3.97748	0	2.82407e-06	6.7396e-07
4.02167	0	2.03289e-06	4.94849e-07
4.06586	0	1.63561e-06	3.97687e-07
4.11006	0	1.16474e-06	2.88825e-07
4.15425	0	9.47477e-07	2.33583e-07
4.19845	0	6.66226e-07	1.68101e-07
4.24264	0	5.48647e-07	1.3703e-07
4.28683	0	3.804e-07	9.77186e-08
4.33103	0	3.17331e-07	8.03077e-08
4.37522	0	2.16779e-07	5.67615e-08
4.41942	0	1.83257e-07	4.6949e-08
4.46361	0	1.23644e-07	3.2687e-08
4.50781	0	1.07182e-07	2.68863e-08
4.552	0	7.15129e-08	1.85009e-08
4.59619	0	6.2792e-08	1.51784e-08
4.64039	0	4.13276e-08	1.03616e-08
4.68458	0	3.67481e-08	8.42219e-09
4.72878	0	2.38866e-08	5.72081e-09
4.77297	0	2.1495e-08	4.55738e-09
4.81716	0	1.38191e-08	3.08457e-09
4.86136	0	1.25749e-08	2.37705e-09
