#b 	 momk 	 DP 	 WW 
0.176777	0	1	0
0.53033	0	1	0
0.883883	0	1	0
1.23744	0	1	0
1.59099	0	1	0
1.94454	0	1	0
2.2981	0	1	0
2.65165	0	1	0
3.0052	0	1	0
3.35876	0	1	0
3.71231	0	1	0
4.06586	0	1	0
4.41942	0	1	0
4.77297	0	1	0
5.12652	0	1	0
5.48008	0	1	0

0.176777	2.5	1	0
0.53033	2.5	1	0
0.883883	2.5	1	0
1.23744	2.5	1	0
1.59099	2.5	1	0
1.94454	2.5	1	0
2.2981	2.5	1	0
2.65165	2.5	1	0
3.0052	2.5	1	0
3.35876	2.5	1	0
3.71231	2.5	1	0
4.06586	2.5	1	0
4.41942	2.5	1	0
4.77297	2.5	1	0
5.12652	2.5	1	0
5.48008	2.5	1	0

