#b 	 momk 	 non Elliptic 	 Smat 	 Smat Fderiv 	 Smat Sderiv 
0.0441942	0	1.96253	19.0721	0.249267	9.85524
0.0883883	0	1.6262	19.0915	0.600611	6.04479
0.132583	0	5.34059	19.1322	1.42798	31.3971
0.176777	0	1.27993	19.2152	2.08451	-1.68581
0.220971	0	4.41526	19.3138	2.56145	23.2697
0.265165	0	0.520619	19.4399	2.9229	-6.91229
0.309359	0	5.23008	19.5744	3.43714	30.1845
0.353553	0	-0.6184	19.7409	3.76117	-15.5209
0.397748	0	2.96948	19.9016	3.72912	14.0705
0.441942	0	-1.03396	20.0702	3.67584	-16.4813
0.486136	0	5.41024	20.2331	4.07056	34.3443
0.53033	0	1.49632	20.4362	4.88691	2.59964
0.574524	0	3.36689	20.6595	5.3269	17.312
0.618718	0	1.29454	20.9065	5.73064	0.959136
0.662913	0	4.43975	21.1687	6.31592	25.5273
0.707107	0	4.66481	21.473	7.46073	26.2808
0.751301	0	2.0248	21.8215	8.15488	5.13288
0.795495	0	1.90093	22.1867	8.36752	4.49049
0.839689	0	2.54776	22.5626	8.68277	9.77584
0.883883	0	3.71156	22.9588	9.3135	18.7683
0.928078	0	2.43104	23.3854	9.91629	8.50995
0.972272	0	0.647479	23.8275	9.99025	-5.16286
1.01647	0	1.91139	24.2674	9.99242	5.2612
1.06066	0	1.80706	24.7139	10.2112	4.64077
1.10485	0	2.66925	25.1719	10.5681	11.5104
1.14905	0	1.94451	25.6484	10.9511	5.82261
1.19324	0	1.52474	26.137	11.1395	2.70339
1.23744	0	0.462651	26.6294	11.0821	-5.30269
1.28163	0	1.96845	27.1179	11.1167	6.86839
1.32583	0	0.195003	27.6115	11.1172	-6.84538
1.37002	0	1.36502	28.0992	11.0262	2.72958
1.41421	0	0.231829	28.5863	10.9558	-5.9165
1.45841	0	1.06095	29.067	10.8458	0.940212
1.5026	0	0.762177	29.5465	10.8402	-1.19637
1.5468	0	0.863105	30.0248	10.8099	-0.173745
1.59099	0	0.711824	30.502	10.7805	-1.15565
1.63518	0	0.304914	30.9763	10.6641	-4.11415
1.67938	0	0.650245	31.4446	10.5478	-1.14665
1.72357	0	0.197054	31.9085	10.4232	-4.4916
1.76777	0	0.116462	32.3647	10.2166	-4.85981
1.81196	0	-0.202188	32.8107	9.95257	-7.08912
1.85616	0	-0.113637	33.244	9.66104	-6.10209
1.90035	0	-0.1719	33.6649	9.38708	-6.29693
1.94454	0	-0.19127	34.0736	9.11106	-6.19566
1.98874	0	-0.401553	34.4698	8.80621	-7.59857
2.03293	0	-0.44537	34.8515	8.46858	-7.6822
2.07713	0	-0.598002	35.218	8.10819	-8.62518
2.12132	0	-0.544264	35.5681	7.74202	-7.94696
2.16551	0	-0.716067	35.9021	7.36635	-9.05551
2.20971	0	-0.648327	36.2191	6.98326	-8.27924
2.2539	0	-0.797139	36.5193	6.59659	-9.2207
2.2981	0	-0.733465	36.8021	6.20516	-8.49133
2.34229	0	-0.844742	37.0678	5.81532	-9.15257
2.38649	0	-0.79218	37.3161	5.42458	-8.52784
2.43068	0	-0.850735	37.5474	5.04191	-8.79141
2.47487	0	-0.843228	37.7617	4.65897	-8.54037
2.51907	0	-0.820815	37.9594	4.28936	-8.18365
2.56326	0	-0.864642	38.1409	3.92388	-8.35775
2.60746	0	-0.79626	38.3064	3.56997	-7.65615
2.65165	0	-0.886674	38.4565	3.2193	-8.21497
2.69584	0	-0.765023	38.5911	2.88072	-7.10896
2.74004	0	-0.892948	38.7112	2.54725	-7.98008
2.78423	0	-0.703562	38.8165	2.23049	-6.35622
2.82843	0	-0.944643	38.9083	1.91026	-8.13398
2.87262	0	-0.598086	38.9857	1.61379	-5.28408
2.91682	0	-1.02778	39.0508	1.30776	-8.56335
2.96101	0	-0.507211	39.1016	1.02244	-4.35008
3.0052	0	-1.11734	39.141	0.726057	-9.06375
3.0494	0	-0.444113	39.166	0.445028	-3.65251
3.09359	0	-1.23465	39.1801	0.147877	-9.79623
3.13779	0	-0.416707	39.1792	-0.140344	-3.24546
3.18198	0	-1.33511	39.1675	-0.441901	-10.4027
3.22617	0	-0.34024	39.1404	-0.726133	-2.46136
3.27037	0	-1.47995	39.103	-1.0318	-11.3697
3.31456	0	-0.324803	39.0493	-1.33081	-2.16304
3.35876	0	-1.68456	38.9849	-1.66162	-12.8061
3.40295	0	-0.282755	38.9026	-1.98104	-1.65039
3.44715	0	-1.8605	38.8094	-2.32724	-14.0148
3.49134	0	-0.305865	38.6969	-2.67334	-1.64931
3.53553	0	-2.05168	38.5727	-3.04865	-15.3372
3.57973	0	-0.300559	38.4275	-3.41894	-1.41803
3.62392	0	-2.27153	38.27	-3.82325	-16.8803
3.66812	0	-0.309205	38.0896	-4.2248	-1.28963
3.71231	0	-2.55913	37.8959	-4.67194	-18.9475
3.7565	0	-0.294406	37.6768	-5.11188	-0.963731
3.8007	0	-2.88125	37.4433	-5.60336	-21.2751
3.84489	0	-0.332827	37.1815	-6.09646	-1.04229
3.88909	0	-3.15569	36.9038	-6.63246	-23.211
3.93328	0	-0.387867	36.5952	-7.17268	-1.23888
3.97748	0	-3.46035	36.2691	-7.76075	-25.3707
4.02167	0	-0.433544	35.9092	-8.35107	-1.34661
4.06586	0	-3.7393	35.5304	-8.98434	-27.3147
4.11006	0	-0.531886	35.1149	-9.62903	-1.85681
4.15425	0	-4.00536	34.6787	-10.314	-29.1423
4.19845	0	-0.622025	34.2031	-11.0086	-2.28925
4.24264	0	-4.25761	33.7051	-11.7408	-30.8494
4.28683	0	-0.716694	33.1653	-12.4831	-2.74682
4.33103	0	-4.45551	32.6013	-13.2536	-32.1191
4.37522	0	-0.840216	31.9936	-14.039	-3.42533
4.41942	0	-4.60525	31.3601	-14.8441	-33.0027
4.46361	0	-0.973427	30.6813	-15.6655	-4.17627
4.50781	0	-4.68932	29.9753	-16.4952	-33.3662
4.552	0	-1.1278	29.223	-17.345	-5.09431
4.59619	0	-4.66835	28.4425	-18.1846	-32.9034
4.64039	0	-1.30392	27.6153	-19.0485	-6.19036
4.68458	0	-4.59126	26.7591	-19.8924	-32.0048
4.72878	0	-1.45519	25.8567	-20.7567	-7.10031
4.77297	0	-4.48048	24.9248	-21.5952	-30.8519
4.81716	0	-1.53368	23.948	-22.4415	-7.45078
4.86136	0	-4.31372	22.9417	-23.2532	-29.2765
4.90555	0	-1.62737	21.8925	-24.0755	-7.94139
4.94975	0	-4.05491	20.8144	-24.8477	-26.9963
4.99394	0	-1.70451	19.6961	-25.6281	-8.32645
5.03814	0	-3.70217	18.5501	-26.3426	-24.0025
