#b 	 momk 	 DP 	 WW 
0.0220971	0	0	0
0.0662913	0	0	0
0.110485	0	0	0
0.15468	0	0	0
0.198874	0	0	0
0.243068	0	0	0
0.287262	0	0	0
0.331456	0	0	0
0.37565	0	0	0
0.419845	0	0	0
0.464039	0	0	0
0.508233	0	0	0
0.552427	0	0	0
0.596621	0	0	0
0.640816	0	0	0
0.68501	0	0	0
0.729204	0	0	0
0.773398	0	0	0
0.817592	0	0	0
0.861786	0	0	0
0.905981	0	0	0
0.950175	0	0	0
0.994369	0	0	0
1.03856	0	0	0
1.08276	0	0	0
1.12695	0	0	0
1.17115	0	0	0
1.21534	0	0	0
1.25953	0	0	0
1.30373	0	0	0
1.34792	0	0	0
1.39212	0	0	0
1.43631	0	0	0
1.4805	0	0	0
1.5247	0	0	0
1.56889	0	0	0
1.61309	0	0	0
1.65728	0	0	0
1.70148	0	0	0
1.74567	0	0	0
1.78986	0	0	0
1.83406	0	0	0
1.87825	0	0	0
1.92245	0	0	0
1.96664	0	0	0
2.01083	0	0	0
2.05503	0	0	0
2.09922	0	0	0
2.14342	0	0	0
2.18761	0	0	0
2.23181	0	0	0
2.276	0	0	0
2.32019	0	0	0
2.36439	0	0	0
2.40858	0	0	0
2.45278	0	0	0
2.49697	0	0	0
2.54116	0	0	0
2.58536	0	0	0
2.62955	0	0	0
2.67375	0	0	0
2.71794	0	0	0
2.76214	0	0	0
2.80633	0	0	0
2.85052	0	0	0
2.89472	0	0	0
2.93891	0	0	0
2.98311	0	0	0
3.0273	0	0	0
3.0715	0	0	0
3.11569	0	0	0
3.15988	0	0	0
3.20408	0	0	0
3.24827	0	0	0
3.29247	0	0	0
3.33666	0	0	0
3.38085	0	0	0
3.42505	0	0	0
3.46924	0	0	0
3.51344	0	0	0
3.55763	0	0	0
3.60183	0	0	0
3.64602	0	0	0
3.69021	0	0	0
3.73441	0	0	0
3.7786	0	0	0
3.8228	0	0	0
3.86699	0	0	0
3.91118	0	0	0
3.95538	0	0	0
3.99957	0	0	0
4.04377	0	0	0
4.08796	0	0	0
4.13216	0	0	0
4.17635	0	0	0
4.22054	0	0	0
4.26474	0	0	0
4.30893	0	0	0
4.35313	0	0	0
4.39732	0	0	0
4.44151	0	0	0
4.48571	0	108.639	3.41251e-10
4.5299	0	669.01	2.05997e-08
4.5741	0	1338.44	7.62504e-08
4.61829	0	1964.84	1.43869e-07
4.66249	0	2559.83	1.17156e-06
4.70668	0	3072.83	1.18931e-05
4.75087	0	3509.28	0.000104231
4.79507	0	3734.81	0.000831257
4.83926	0	3858.12	0.00663261
4.88346	0	3898.48	0.0538721
4.92765	0	3910.79	0.338411
4.97184	0	3804.37	0.906053
5.01604	0	3705.19	6.20752
5.06023	0	3527.96	23.5725
5.10443	0	3352.06	19.1788
5.14862	0	3464.73	34.3793
5.19282	0	3678.54	34.6122
5.23701	0	3781.64	9.02596
5.2812	0	3821.23	-0.219381
5.3254	0	3931.05	0.000539272
5.36959	0	3809.84	0.00986672
5.41379	0	3863.69	0.00192992
5.45798	0	3565.63	0.000243467
5.50217	0	3356.73	2.42052e-05
5.54637	0	2759.23	4.13996e-06
5.59056	0	2321.72	9.76353e-07
5.63476	0	1616.32	2.58127e-07

0.0220971	2.5	0	0
0.0662913	2.5	0	0
0.110485	2.5	0	0
0.15468	2.5	0	0
0.198874	2.5	0	0
0.243068	2.5	0	0
0.287262	2.5	0	0
0.331456	2.5	0	0
0.37565	2.5	0	0
0.419845	2.5	0	0
0.464039	2.5	0	0
0.508233	2.5	0	0
0.552427	2.5	0	0
0.596621	2.5	0	0
0.640816	2.5	0	0
0.68501	2.5	0	0
0.729204	2.5	0	0
0.773398	2.5	0	0
0.817592	2.5	0	0
0.861786	2.5	0	0
0.905981	2.5	0	0
0.950175	2.5	0	0
0.994369	2.5	0	0
1.03856	2.5	0	0
1.08276	2.5	0	0
1.12695	2.5	0	0
1.17115	2.5	0	0
1.21534	2.5	0	0
1.25953	2.5	0	0
1.30373	2.5	0	0
1.34792	2.5	0	0
1.39212	2.5	0	0
1.43631	2.5	0	0
1.4805	2.5	0	0
1.5247	2.5	0	0
1.56889	2.5	0	0
1.61309	2.5	0	0
1.65728	2.5	0	0
1.70148	2.5	0	0
1.74567	2.5	0	0
1.78986	2.5	0	0
1.83406	2.5	0	0
1.87825	2.5	0	0
1.92245	2.5	0	0
1.96664	2.5	0	0
2.01083	2.5	0	0
2.05503	2.5	0	0
2.09922	2.5	0	0
2.14342	2.5	0	0
2.18761	2.5	0	0
2.23181	2.5	0	0
2.276	2.5	0	0
2.32019	2.5	0	0
