#kx 	 Dy 	 DP 	 WW 	 (DP-WW)/DP 
50.2655	0	-0.00715392	0.000216586	1.03028
50.2655	1.5708	-0.00497349	-0.000193065	0.961181
50.2655	3.14159	-0.0171425	6.94499e-05	1.00405
50.2655	4.71239	-0.0208496	7.69537e-05	1.00369
50.2655	6.28319	-0.0119957	1.89757e-05	1.00158
50.2655	7.85398	-0.00334422	-0.000215329	0.935612
50.2655	9.42478	-0.00254904	-0.000345061	0.864631
50.2655	10.9956	-0.00134489	-8.32804e-05	0.938077
50.2655	12.5664	0.000481087	7.15583e-05	0.851257
50.2655	14.1372	0.00528314	-4.89618e-05	1.00927
50.2655	15.708	0.00867667	3.11047e-05	0.996415
50.2655	17.2788	0.00698325	0.000321413	0.953974
50.2655	18.8496	0.00478813	0.000293076	0.938791
50.2655	20.4204	0.00339525	0.000254803	0.924953
50.2655	21.9911	-0.000146387	3.81013e-05	1.26028
50.2655	23.5619	-0.00264461	-0.000371184	0.859645
50.2655	25.1327	-0.00290991	-0.00029752	0.897756
50.2655	26.7035	-0.00301756	-0.000213918	0.929109
50.2655	28.2743	-0.00341279	-8.44561e-05	0.975253
50.2655	29.8451	-0.0023749	0.000160096	1.06741
50.2655	31.4159	-0.00185712	0.000288629	1.15542
50.2655	32.9867	-0.00161795	-0.000263361	0.837226
50.2655	34.5575	-0.000344165	-0.000891033	-1.58897
50.2655	36.1283	0.000533937	-0.00083287	2.55986
50.2655	37.6991	-6.1904e-05	-0.000490833	-6.92893
50.2655	39.2699	-0.000186496	-0.000127329	0.317258
50.2655	40.8407	0.00019527	-0.000122973	1.62976
50.2655	42.4115	0.000429175	5.58506e-05	0.869865
50.2655	43.9823	0.000245633	0.000551226	-1.2441
50.2655	45.5531	-0.00028575	0.000637393	3.2306
50.2655	47.1239	-0.000817448	0.000262938	1.32166
50.2655	48.6947	-0.000831587	-0.000283206	0.659439
50.2655	50.2655	-8.609e-05	-0.000776857	-8.02377
50.2655	51.8363	0.000755354	-0.000846637	2.12085
50.2655	53.4071	0.00103944	-0.000716913	1.68971
50.2655	54.9779	0.000461111	-0.000681301	2.47752
50.2655	56.5487	-0.000137276	-0.000512782	-2.73542
