#b 	 momk 	 DP 	 WW 
0	0	5.52332	0
0.0441942	0	5.54791	0
0.0883883	0	5.63617	0
0.132583	0	5.61756	0
0.176777	0	5.69643	0
0.220971	0	5.7665	0
0.265165	0	5.82532	0
0.309359	0	5.91596	0
0.353553	0	5.9937	0
0.397748	0	6.12821	0
0.441942	0	6.28753	0
0.486136	0	6.46317	0
0.53033	0	6.60004	0
0.574524	0	6.8306	0
0.618718	0	7.06692	0
0.662913	0	7.27925	0
0.707107	0	7.4977	0
0.751301	0	7.807	0
0.795495	0	8.08409	0
0.839689	0	8.40925	0
0.883883	0	8.76872	0
0.928078	0	9.1734	0
0.972272	0	9.5968	0
1.01647	0	10.0661	0
1.06066	0	10.5601	0
1.10485	0	11.0407	0
1.14905	0	11.5163	0
1.19324	0	12.0483	0
1.23744	0	12.6156	0
1.28163	0	13.2085	0
1.32583	0	13.8185	0
1.37002	0	14.4332	0
1.41421	0	15.104	0
1.45841	0	15.7818	0
1.5026	0	16.4688	0
1.5468	0	17.1603	0
1.59099	0	17.8756	0
1.63518	0	18.588	0
1.67938	0	19.3222	0
1.72357	0	20.0677	0
1.76777	0	20.8085	0
1.81196	0	21.5361	0
1.85616	0	22.271	0
1.90035	0	23.0188	0
1.94454	0	23.7581	0
1.98874	0	24.4997	0
2.03293	0	25.2292	0
2.07713	0	25.9742	0
2.12132	0	26.7201	0
2.16551	0	27.45	0
2.20971	0	28.1567	0
2.2539	0	28.8471	0
2.2981	0	29.5207	0
2.34229	0	30.1713	0
2.38649	0	30.802	0
2.43068	0	31.4101	0
2.47487	0	31.9875	0
2.51907	0	32.5348	0
2.56326	0	33.0556	0
2.60746	0	33.5521	0
2.65165	0	34.0204	0
2.69584	0	34.4593	0
2.74004	0	34.8719	0
2.78423	0	35.2573	0
2.82843	0	35.6173	0
2.87262	0	35.9506	0
2.91682	0	36.2578	0
2.96101	0	36.5375	0
3.0052	0	36.7929	0
3.0494	0	37.021	0
3.09359	0	37.2262	0
3.13779	0	37.4049	0
3.18198	0	37.5611	0
3.22617	0	37.6911	0
3.27037	0	37.7992	0
3.31456	0	37.8804	0
3.35876	0	37.9411	0
3.40295	0	37.974	0
3.44715	0	37.9868	0
3.49134	0	37.9709	0
3.53553	0	37.9359	0
3.57973	0	37.8709	0
3.62392	0	37.7865	0
3.66812	0	37.6705	0
3.71231	0	37.5347	0
3.7565	0	37.3664	0
3.8007	0	37.1782	0
3.84489	0	36.9562	0
3.88909	0	36.7134	0
3.93328	0	36.4352	0
3.97748	0	36.1356	0
4.02167	0	35.7983	0
4.06586	0	35.4388	0
4.11006	0	35.0394	0
4.15425	0	34.6167	0
4.19845	0	34.1523	0
4.24264	0	33.6639	0
4.28683	0	33.132	0
4.33103	0	32.5747	0
4.37522	0	31.9723	0
4.41942	0	31.3432	0
4.46361	0	30.6678	0
4.50781	0	29.9647	0
4.552	0	29.2147	0
4.59619	0	28.436	0
4.64039	0	27.6103	0
4.68458	0	26.7552	0
4.72878	0	25.8537	0
4.77297	0	24.9226	0
4.81716	0	23.9463	0
4.86136	0	22.9405	0
4.90555	0	21.8915	0
4.94975	0	20.8137	0
4.99394	0	19.6956	0
5.03814	0	18.5497	0
5.08233	0	17.3671	0
5.12652	0	16.1586	0
5.17072	0	14.9176	0
5.21491	0	13.653	0
5.25911	0	12.3607	0
5.3033	0	11.0479	0
5.3475	0	9.71255	0
5.39169	0	8.3604	0
5.43588	0	6.99122	0
5.48008	0	5.60948	0
5.52427	0	4.21642	0
5.56847	0	2.81555	0
5.61266	0	1.4091	0

0	0.111111	5.38896	0
0.0441942	0.111111	5.41352	0
0.0883883	0.111111	5.50121	0
0.132583	0.111111	5.4826	0
0.176777	0.111111	5.5609	0
0.220971	0.111111	5.63058	0
0.265165	0.111111	5.68902	0
0.309359	0.111111	5.77916	0
0.353553	0.111111	5.85638	0
0.397748	0.111111	5.99029	0
0.441942	0.111111	6.14853	0
0.486136	0.111111	6.32325	0
0.53033	0.111111	6.45913	0
0.574524	0.111111	6.68834	0
0.618718	0.111111	6.92326	0
0.662913	0.111111	7.13425	0
0.707107	0.111111	7.35117	0
0.751301	0.111111	7.65861	0
0.795495	0.111111	7.93385	0
0.839689	0.111111	8.25691	0
0.883883	0.111111	8.61408	0
0.928078	0.111111	9.01619	0
0.972272	0.111111	9.43669	0
1.01647	0.111111	9.90262	0
1.06066	0.111111	10.3933	0
1.10485	0.111111	10.8705	0
1.14905	0.111111	11.3428	0
1.19324	0.111111	11.8708	0
1.23744	0.111111	12.4338	0
1.28163	0.111111	13.0222	0
1.32583	0.111111	13.6274	0
1.37002	0.111111	14.2373	0
1.41421	0.111111	14.9028	0
1.45841	0.111111	15.5752	0
1.5026	0.111111	16.2567	0
1.5468	0.111111	16.9426	0
1.59099	0.111111	17.6518	0
1.63518	0.111111	18.3581	0
1.67938	0.111111	19.086	0
1.72357	0.111111	19.8251	0
1.76777	0.111111	20.5593	0
1.81196	0.111111	21.2804	0
1.85616	0.111111	22.0086	0
1.90035	0.111111	22.7496	0
1.94454	0.111111	23.4821	0
1.98874	0.111111	24.2168	0
2.03293	0.111111	24.9394	0
2.07713	0.111111	25.6776	0
2.12132	0.111111	26.4165	0
2.16551	0.111111	27.1394	0
2.20971	0.111111	27.8393	0
2.2539	0.111111	28.5229	0
2.2981	0.111111	29.1898	0
2.34229	0.111111	29.834	0
2.38649	0.111111	30.4582	0
2.43068	0.111111	31.06	0
2.47487	0.111111	31.6313	0
2.51907	0.111111	32.1727	0
2.56326	0.111111	32.6877	0
2.60746	0.111111	33.1786	0
2.65165	0.111111	33.6416	0
2.69584	0.111111	34.0754	0
2.74004	0.111111	34.4832	0
2.78423	0.111111	34.864	0
2.82843	0.111111	35.2198	0
2.87262	0.111111	35.5492	0
2.91682	0.111111	35.8528	0
2.96101	0.111111	36.1292	0
3.0052	0.111111	36.3816	0
3.0494	0.111111	36.6072	0
3.09359	0.111111	36.8103	0
3.13779	0.111111	36.9872	0
3.18198	0.111111	37.1421	0
3.22617	0.111111	37.2713	0
3.27037	0.111111	37.3789	0
3.31456	0.111111	37.4602	0
3.35876	0.111111	37.5213	0
3.40295	0.111111	37.5553	0
3.44715	0.111111	37.5695	0
3.49134	0.111111	37.5557	0
3.53553	0.111111	37.5231	0
3.57973	0.111111	37.4612	0
3.62392	0.111111	37.3802	0
3.66812	0.111111	37.2682	0
3.71231	0.111111	37.1368	0
3.7565	0.111111	36.9735	0
3.8007	0.111111	36.7907	0
3.84489	0.111111	36.5747	0
3.88909	0.111111	36.3381	0
3.93328	0.111111	36.0668	0
3.97748	0.111111	35.7742	0
4.02167	0.111111	35.4446	0
4.06586	0.111111	35.093	0
4.11006	0.111111	34.7019	0
4.15425	0.111111	34.2877	0
4.19845	0.111111	33.8323	0
4.24264	0.111111	33.353	0
4.28683	0.111111	32.8305	0
4.33103	0.111111	32.2828	0
4.37522	0.111111	31.6903	0
4.41942	0.111111	31.0712	0
4.46361	0.111111	30.4059	0
4.50781	0.111111	29.7131	0
4.552	0.111111	28.9734	0
4.59619	0.111111	28.2051	0
4.64039	0.111111	27.3899	0
4.68458	0.111111	26.5453	0
4.72878	0.111111	25.6543	0
4.77297	0.111111	24.7336	0
4.81716	0.111111	23.7677	0
4.86136	0.111111	22.7722	0
4.90555	0.111111	21.7335	0
4.94975	0.111111	20.6658	0
4.99394	0.111111	19.5577	0
5.03814	0.111111	18.4219	0
5.08233	0.111111	17.2491	0
5.12652	0.111111	16.0503	0
5.17072	0.111111	14.8189	0
5.21491	0.111111	13.5638	0
5.25911	0.111111	12.2808	0
5.3033	0.111111	10.9772	0
5.3475	0.111111	9.65093	0
5.39169	0.111111	8.30779	0
5.43588	0.111111	6.94752	0
5.48008	0.111111	5.57462	0
5.52427	0.111111	4.19033	0
5.56847	0.111111	2.79818	0
5.61266	0.111111	1.40042	0

0	0.222222	5.00135	0
0.0441942	0.222222	5.02578	0
0.0883883	0.222222	5.11178	0
0.132583	0.222222	5.09316	0
0.176777	0.222222	5.16975	0
0.220971	0.222222	5.2383	0
0.265165	0.222222	5.29555	0
0.309359	0.222222	5.38419	0
0.353553	0.222222	5.45984	0
0.397748	0.222222	5.59193	0
0.441942	0.222222	5.74694	0
0.486136	0.222222	5.9189	0
0.53033	0.222222	6.05179	0
0.574524	0.222222	6.27696	0
0.618718	0.222222	6.50767	0
0.662913	0.222222	6.71466	0
0.707107	0.222222	6.927	0
0.751301	0.222222	7.22885	0
0.795495	0.222222	7.49854	0
0.839689	0.222222	7.81532	0
0.883883	0.222222	8.16567	0
0.928078	0.222222	8.5601	0
0.972272	0.222222	8.97195	0
