#rap 	 c_2_4 	 error 	 s_2_4 	 error 	 c_2_2 	 error 
1	-0.214601	0.000972153	0.034751	0.00077095	0.353095	0.000592984
2	-0.216268	0.000971339	0.0337452	0.000769329	0.353563	0.000592971
3	-0.214471	0.000972962	0.0347391	0.000771869	0.352995	0.000593284
4	-0.216011	0.000974103	0.0345816	0.000771917	0.353972	0.000593452
5	-0.216451	0.000972614	0.0341207	0.000770426	0.353958	0.000592974
6	-0.214316	0.000970328	0.0335384	0.000770297	0.352033	0.000592616
7	-0.21674	0.000971186	0.0325116	0.000769714	0.353024	0.000593124
8	-0.213689	0.000970807	0.0352536	0.000769936	0.352805	0.000592578
9	-0.214288	0.000971917	0.034684	0.000770857	0.352826	0.000593168
10	-0.213506	0.000971124	0.0350702	0.000770523	0.352546	0.00059277
